,Skin Type,UV Index,No SPF,SPF 20,SPF 30,SPF 50
4,Brown,6,27,540,810,1350
10,Brown,7,23,463,694,1157
16,Brown,8,20,405,608,1012
22,Brown,9,18,360,540,900
5,Dark Brown to Black,6,38,750,1125,1875
11,Dark Brown to Black,7,32,643,964,1607
17,Dark Brown to Black,8,28,562,844,1406
23,Dark Brown to Black,9,25,500,750,1250
2,Light Olive,6,15,300,450,750
8,Light Olive,7,13,257,386,643
14,Light Olive,8,11,225,338,562
20,Light Olive,9,10,200,300,500
3,Mediterranean,6,20,390,585,975
9,Mediterranean,7,17,334,501,836
15,Mediterranean,8,15,292,439,731
21,Mediterranean,9,13,260,390,650
1,Pale,6,12,240,360,600
7,Pale,7,10,206,309,514
13,Pale,8,9,180,270,450
19,Pale,9,8,160,240,400
0,Very Pale,6,9,180,270,450
6,Very Pale,7,8,154,231,386
12,Very Pale,8,7,135,202,338
18,Very Pale,9,6,120,180,300
