Ingredient Name,Amount Per Serving,Unit,% Daily Value,Source
"Vitamin C (as Ascorbic Acid)","250","mg","278%","Known"
"Calcium (from CaAKG)","400","mg","31%","Known"
"Magnesium (as Magnesium Citrate)","150","mg","36%","Known"
"Creatine (as Monohydrate)","2500","mg","†","Known"
"Calcium Alpha-Keto Glutarate (CaAKG)","2000","mg","†","Known"
"Taurine","1500","mg","†","Known"
"Glycine","1200","mg","†","Known"
"L-Lysine (as HCI)","1000","mg","†","Known"
"Glucosamine Sulfate (as KCI)","750","mg","†","Known"
"L-Glutathione Reduced","250","mg","†","Known"
"L-Theanine","200","mg","†","Known"
"Sodium Hyaluronate","120","mg","†","Known"

"Notes:"
"Serving Size: 1 Level Scoop (14.6 g)"
"Servings Per Container: 30"
"† Daily Value not established"
